dataset_module,dataset_variant,logical_operator,n_noise_features,model,seed,n_samples,n_relevant_features,n_features,train_samples,test_samples,positive_rate,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
logical_dataset,L3,XOR,0,realmlp,1,1000,4,4,750,250,0.477,0.904,0.9018538713195201,0.9076062203136184,0.9018538713195201,0.903250773993808,12.522412299993448,0.08384320000186563,12.606255499995314,0.21241781886354613,0.9745333247802939,success,
logical_dataset,L3,XOR,0,tabicl_v2,1,1000,4,4,750,250,0.477,0.852,0.851850663929694,0.8516025641025642,0.851850663929694,0.8517129162057744,0.8582775999966543,14.831941299984464,15.690218899981119,0.40734173165446724,0.9341202129706844,success,
logical_dataset,L3,XOR,0,limix,1,1000,4,4,750,250,0.477,0.924,0.9224773879017256,0.9261128364389234,0.9224773879017256,0.9235584737443474,0.00012680000509135425,4.4641812999907415,4.464308099995833,0.38819613486587784,0.9699788312271472,success,
logical_dataset,L3,XOR,0,tabpfn_v2,1,1000,4,4,750,250,0.477,0.888,0.8888960164218359,0.888,0.8888960164218359,0.8879354508196722,0.33304860000498593,20.88761209999211,21.220660699997097,0.42244146116195486,0.9586246712425429,success,
logical_dataset,L3,XOR,0,tabpfn_v3,1,1000,4,4,750,250,0.477,0.932,0.9320354095836808,0.9317307692307693,0.9320354095836808,0.9318680966350855,1.490157000022009,20.342396600026404,21.832553600048414,0.21556565939262673,0.9806915132465199,success,
logical_dataset,L3,XOR,0,catboost,2,1000,4,4,750,250,0.497,0.928,0.9279313876088069,0.9281506147540983,0.9279313876088069,0.9279815632801998,2.6674364000209607,0.0025436999858357012,2.6699801000067964,0.23236958338678904,0.9850870455709165,success,
logical_dataset,L3,XOR,0,realmlp,2,1000,4,4,750,250,0.497,0.864,0.8641193036354327,0.8643058401639344,0.8641193036354327,0.8639912954429083,19.332708800007822,0.08816290000686422,19.420871700014686,0.3737478682289027,0.9485407066052227,success,
logical_dataset,L3,XOR,0,tabicl_v2,2,1000,4,4,750,250,0.497,0.88,0.8800563236047108,0.8800563236047108,0.8800563236047108,0.88,0.8117888999986462,12.819042200018885,13.63083110001753,0.2575452770494187,0.9647977470558116,success,
logical_dataset,L3,XOR,0,limix,2,1000,4,4,750,250,0.497,0.864,0.8640552995391705,0.8640552995391705,0.8640552995391705,0.864,0.0001236999814864248,4.559079099999508,4.559202799980994,0.43668110824800743,0.9489887352790579,success,
logical_dataset,L3,XOR,0,tabpfn_v2,2,1000,4,4,750,250,0.497,0.856,0.8561827956989247,0.8567307692307693,0.8561827956989247,0.8559631265603995,0.3263755000079982,23.585162500006845,23.911538000014843,0.4399523004572592,0.9420762928827445,success,
logical_dataset,L3,XOR,0,tabpfn_v3,2,1000,4,4,750,250,0.497,0.904,0.9039298515104967,0.9041367827868853,0.9039298515104967,0.903975417706933,1.5010786000057124,21.235024199995678,22.73610280000139,0.2155340404222453,0.9749743983614951,success,
logical_dataset,L3,XOR,0,catboost,3,1000,4,4,750,250,0.483,0.952,0.9511820103786277,0.9536231884057971,0.9511820103786277,0.951848998459168,2.6667993999726605,0.002589300012914464,2.669388699985575,0.17007601159678148,0.9939137676981229,success,
logical_dataset,L3,XOR,0,realmlp,3,1000,4,4,750,250,0.483,0.936,0.9359343968223461,0.9359343968223461,0.9359343968223461,0.9359343968223461,12.604023499996401,0.09115930000552908,12.69518280000193,0.1752166926400344,0.9853289768723172,success,
logical_dataset,L3,XOR,0,tabicl_v2,3,1000,4,4,750,250,0.483,0.532,0.5165289256198347,0.7621951219512195,0.5165289256198347,0.376,0.8104018000012729,13.079669300001115,13.890071100002388,0.6851420991227675,0.7640463834967007,success,
logical_dataset,L3,XOR,0,limix,3,1000,4,4,750,250,0.483,0.888,0.8866038823755525,0.8911141357184522,0.8866038823755525,0.8874163664436439,0.00017189999925903976,4.955118499987293,4.955290399986552,0.40653367625262754,0.9725158562367865,success,
logical_dataset,L3,XOR,0,tabpfn_v2,3,1000,4,4,750,250,0.483,0.864,0.8630918060093535,0.8650563607085346,0.8630918060093535,0.8635721623009759,0.3653698999842163,21.89293460000772,22.258304499991937,0.37787380630478906,0.9360625280287014,success,
logical_dataset,L3,XOR,0,tabpfn_v3,3,1000,4,4,750,250,0.483,0.884,0.883752963034147,0.8839743589743589,0.883752963034147,0.8838494689117096,1.501385300012771,23.265476900007343,24.766862200020114,0.208006139917299,0.9745018899352936,success,
logical_dataset,L3,XOR,0,catboost,4,1000,4,4,750,250,0.541,0.94,0.9405797101449276,0.9391371340523883,0.9405797101449276,0.9397212711578338,2.63897729999735,0.0044553000188898295,2.64343260001624,0.20899164027318307,0.9895008051529791,success,
logical_dataset,L3,XOR,0,realmlp,4,1000,4,4,750,250,0.541,0.888,0.8917874396135266,0.88967903132808,0.8917874396135266,0.8879354508196722,12.924102600023616,0.08955540001625195,13.013658000039868,0.24499718238814233,0.9728180354267311,success,
logical_dataset,L3,XOR,0,tabicl_v2,4,1000,4,4,750,250,0.541,0.924,0.9270531400966183,0.924347158218126,0.9270531400966183,0.9239013761835339,0.8471945000055712,15.447109300002921,16.294303800008493,0.18382201118814373,0.9826086956521739,success,
logical_dataset,L3,XOR,0,limix,4,1000,4,4,750,250,0.541,0.912,0.9127214170692431,0.9110270062223362,0.9127214170692431,0.9116380695328063,0.00011699998867698014,4.459667199989781,4.459784199978458,0.4000962380476957,0.9718518518518519,success,
logical_dataset,L3,XOR,0,tabpfn_v2,4,1000,4,4,750,250,0.541,0.836,0.8326892109500805,0.8367892540427752,0.8326892109500805,0.8340645286623173,0.3601158000237774,22.346084200020414,22.70620000004419,0.3779980063234948,0.9261191626409018,success,
logical_dataset,L3,XOR,0,tabpfn_v3,4,1000,4,4,750,250,0.541,0.924,0.9264090177133655,0.9237071172555044,0.9264090177133655,0.9238525785921544,1.8123838999890722,21.621838399994886,23.434222299983958,0.18742392441437425,0.9840257648953301,success,
logical_dataset,L1,AND,4,realmlp,0,1000,2,6,750,250,0.228,0.988,0.9922279792746114,0.975,0.9922279792746114,0.9832630380933253,26.96049190001213,0.08769850002136081,27.04819040003349,0.1145589270705688,0.9991818925552223,success,
logical_dataset,L1,AND,4,tabicl_v2,0,1000,2,6,750,250,0.228,1.0,1.0,1.0,1.0,1.0,0.8395675999927334,13.59087119999458,14.430438799987314,0.0008481500732598682,1.0,success,
logical_dataset,L1,AND,4,limix,0,1000,2,6,750,250,0.228,1.0,1.0,1.0,1.0,1.0,0.00012859998969361186,7.856430699990597,7.85655929998029,0.0012602234548895659,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v2,0,1000,2,6,750,250,0.228,1.0,1.0,1.0,1.0,1.0,0.3428055999975186,29.96007999998983,30.30288559998735,0.0024919046867349338,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v3,0,1000,2,6,750,250,0.228,1.0,1.0,1.0,1.0,1.0,1.5747692000004463,22.745003199990606,24.319772399991052,0.0009364969383060074,1.0,success,
logical_dataset,L1,AND,4,catboost,1,1000,2,6,750,250,0.237,1.0,1.0,1.0,1.0,1.0,2.5401168999960646,0.0044027999974787235,2.5445196999935433,0.002422361857862408,1.0,success,
logical_dataset,L1,AND,4,realmlp,1,1000,2,6,750,250,0.237,0.992,0.9830508474576272,0.9948186528497409,0.9830508474576272,0.9887751436781609,31.811504899989814,0.0938443000195548,31.90534920000937,0.07129498801444138,0.9993788268701749,success,
logical_dataset,L1,AND,4,tabicl_v2,1,1000,2,6,750,250,0.237,0.996,0.9973821989528796,0.9916666666666667,0.9973821989528796,0.9944859833697259,0.8764206999912858,14.079171199991833,14.95559189998312,0.004726193332543096,1.0,success,
logical_dataset,L1,AND,4,limix,1,1000,2,6,750,250,0.237,0.996,0.9973821989528796,0.9916666666666667,0.9973821989528796,0.9944859833697259,0.00012569999671541154,9.221401099988725,9.22152679998544,0.004702951681196326,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v2,1,1000,2,6,750,250,0.237,0.996,0.9973821989528796,0.9916666666666667,0.9973821989528796,0.9944859833697259,0.3630286999978125,30.862892300006934,31.225921000004746,0.005232206406844142,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v3,1,1000,2,6,750,250,0.237,0.996,0.9973821989528796,0.9916666666666667,0.9973821989528796,0.9944859833697259,1.5937343000259716,22.274338400020497,23.86807270004647,0.004497156634420957,1.0,success,
logical_dataset,L1,AND,4,catboost,2,1000,2,6,750,250,0.238,1.0,1.0,1.0,1.0,1.0,3.0442584000120405,0.008256600005552173,3.0525150000175927,0.0030374399389742723,1.0,success,
logical_dataset,L1,AND,4,realmlp,2,1000,2,6,750,250,0.238,0.996,0.9915254237288136,0.9973958333333333,0.9915254237288136,0.994421012697775,26.066171699989354,0.08987500000512227,26.156046699994477,0.017139575224085633,1.0,success,
logical_dataset,L1,AND,4,tabicl_v2,2,1000,2,6,750,250,0.238,1.0,1.0,1.0,1.0,1.0,0.8076222999952734,13.998281399981352,14.805903699976625,0.001476241928598578,1.0,success,
logical_dataset,L1,AND,4,limix,2,1000,2,6,750,250,0.238,1.0,1.0,1.0,1.0,1.0,0.00010000000474974513,8.403941299999133,8.404041300003882,0.00177682123747592,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v2,2,1000,2,6,750,250,0.238,1.0,1.0,1.0,1.0,1.0,0.34992479998618364,30.005587000021478,30.355511800007662,0.004356355733276506,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v3,2,1000,2,6,750,250,0.238,1.0,1.0,1.0,1.0,1.0,1.5817735000164248,22.628607700025896,24.21038120004232,0.0022797753605929586,1.0,success,
logical_dataset,L1,AND,4,catboost,3,1000,2,6,750,250,0.282,0.996,0.9972067039106145,0.9930555555555556,0.9972067039106145,0.9951029362794068,2.926266199996462,0.004143400001339614,2.9304095999978017,0.013827755070129538,0.9999213156031158,success,
logical_dataset,L1,AND,4,realmlp,3,1000,2,6,750,250,0.282,0.992,0.9859154929577465,0.994475138121547,0.9859154929577465,0.9900793650793651,23.575767199974507,0.10960830000112765,23.685375499975635,0.022550652811181637,0.9996852624124636,success,
logical_dataset,L1,AND,4,tabicl_v2,3,1000,2,6,750,250,0.282,0.996,0.9929577464788732,0.9972222222222222,0.9929577464788732,0.9950611430490528,0.8128132999991067,15.170161000016378,15.982974300015485,0.005171923937475206,1.0,success,
logical_dataset,L1,AND,4,limix,3,1000,2,6,750,250,0.282,1.0,1.0,1.0,1.0,1.0,0.00019029999384656549,6.499807899992447,6.499998199986294,0.002625829503699059,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v2,3,1000,2,6,750,250,0.282,1.0,1.0,1.0,1.0,1.0,0.33429649999015965,32.94135780000943,33.27565429999959,0.006007240527905419,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v3,3,1000,2,6,750,250,0.282,0.996,0.9929577464788732,0.9972222222222222,0.9929577464788732,0.9950611430490528,2.289963900024304,23.30480620000162,25.594770100025926,0.005566568007965102,1.0,success,
logical_dataset,L1,AND,4,catboost,4,1000,2,6,750,250,0.247,0.996,0.9973404255319149,0.9920634920634921,0.9973404255319149,0.9946666666666666,2.879927100002533,0.002556499995989725,2.8824835999985225,0.015773584104116948,0.9998284145504461,success,
logical_dataset,L1,AND,4,realmlp,4,1000,2,6,750,250,0.247,0.996,0.9973404255319149,0.9920634920634921,0.9973404255319149,0.9946666666666666,24.04902690000017,0.10000070001115091,24.149027600011323,0.010715436633413102,0.9999142072752231,success,
logical_dataset,L1,AND,4,tabicl_v2,4,1000,2,6,750,250,0.247,0.996,0.9973404255319149,0.9920634920634921,0.9973404255319149,0.9946666666666666,0.7982446000096388,14.6966601999884,15.49490479999804,0.005277813117271748,1.0,success,
logical_dataset,L1,AND,4,limix,4,1000,2,6,750,250,0.247,0.996,0.9973404255319149,0.9920634920634921,0.9973404255319149,0.9946666666666666,0.0001260999997612089,6.5914470000134315,6.591573100013193,0.005270301964362376,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v2,4,1000,2,6,750,250,0.247,0.996,0.9973404255319149,0.9920634920634921,0.9973404255319149,0.9946666666666666,0.3482075999781955,37.7407803000242,38.088987900002394,0.008433679246473895,1.0,success,
logical_dataset,L1,AND,4,tabpfn_v3,4,1000,2,6,750,250,0.247,0.996,0.9973404255319149,0.9920634920634921,0.9973404255319149,0.9946666666666666,2.152865199983353,24.102082299999893,26.254947499983246,0.008545839960754352,0.9999999999999999,success,
logical_dataset,L2,OR,4,realmlp,0,1000,2,6,750,250,0.738,0.992,0.9848484848484849,0.9946236559139785,0.9848484848484849,0.9896049896049897,27.1137956000166,0.11294510000152513,27.226740700018127,0.014730561059136026,1.0,success,
logical_dataset,L2,OR,4,tabicl_v2,0,1000,2,6,750,250,0.738,0.996,0.9972826086956521,0.9925373134328358,0.9972826086956521,0.9948782036835959,0.9475065000005998,15.453908600000432,16.40141510000103,0.005741160592855939,1.0,success,
logical_dataset,L2,OR,4,limix,0,1000,2,6,750,250,0.738,0.992,0.9945652173913043,0.9852941176470589,0.9945652173913043,0.9898050729956773,0.00019029999384656549,7.225406899990048,7.225597199983895,0.011137390769608974,1.0,success,
logical_dataset,L2,OR,4,tabpfn_v2,0,1000,2,6,750,250,0.738,0.992,0.9945652173913043,0.9852941176470589,0.9945652173913043,0.9898050729956773,0.6289437999948859,31.542762099998072,32.17170589999296,0.015375170584487684,0.9998353096179183,success,
logical_dataset,L2,OR,4,tabpfn_v3,0,1000,2,6,750,250,0.738,0.996,0.9972826086956521,0.9925373134328358,0.9972826086956521,0.9948782036835959,1.8182078000099864,23.96078139997553,25.778989199985517,0.00627201990655245,1.0,success,
logical_dataset,L2,OR,4,catboost,1,1000,2,6,750,250,0.746,1.0,1.0,1.0,1.0,1.0,2.9823781000159215,0.0032529000018257648,2.9856310000177473,0.002391677719795444,1.0,success,
logical_dataset,L2,OR,4,realmlp,1,1000,2,6,750,250,0.746,0.988,0.9814531873355403,0.9866163349347976,0.9814531873355403,0.984,25.342539000004763,0.09429870001622476,25.436837700020988,0.07710723036513276,0.998472116119175,success,
logical_dataset,L2,OR,4,tabicl_v2,1,1000,2,6,750,250,0.746,1.0,1.0,1.0,1.0,1.0,0.8448117999942042,14.713555999973323,15.558367799967527,0.0030262221379811763,1.0,success,
logical_dataset,L2,OR,4,limix,1,1000,2,6,750,250,0.746,1.0,1.0,1.0,1.0,1.0,0.00018699999782256782,9.631180399999721,9.631367399997544,0.0019524963362612948,1.0,success,
logical_dataset,L2,OR,4,tabpfn_v2,1,1000,2,6,750,250,0.746,1.0,1.0,1.0,1.0,1.0,0.650362500018673,32.968747400009306,33.61910990002798,0.0093330041089875,1.0,success,
logical_dataset,L2,OR,4,tabpfn_v3,1,1000,2,6,750,250,0.746,0.996,0.9920634920634921,0.9973404255319149,0.9920634920634921,0.9946666666666666,1.593408199987607,23.39382750002551,24.987235700013116,0.005347534289979125,1.0,success,
logical_dataset,L2,OR,4,catboost,2,1000,2,6,750,250,0.736,1.0,1.0,1.0,1.0,1.0,3.2706792000099085,0.004272799997124821,3.2749520000070333,0.001934815837168908,1.0,success,
logical_dataset,L2,OR,4,realmlp,2,1000,2,6,750,250,0.736,0.984,0.984272068511199,0.9751939237233356,0.984272068511199,0.9796101459913547,24.789761799998814,0.10097790000145324,24.890739700000267,0.028687109165532205,0.9994235836627141,success,
logical_dataset,L2,OR,4,tabicl_v2,2,1000,2,6,750,250,0.736,1.0,1.0,1.0,1.0,1.0,0.9038283000118099,15.554176500008907,16.458004800020717,0.0016626961651013345,1.0,success,
logical_dataset,L2,OR,4,limix,2,1000,2,6,750,250,0.736,1.0,1.0,1.0,1.0,1.0,0.00021019999985583127,8.525999199977377,8.526209399977233,0.0020979226397201964,1.0,success,
logical_dataset,L2,OR,4,tabpfn_v2,2,1000,2,6,750,250,0.736,1.0,1.0,1.0,1.0,1.0,0.696224399987841,31.38882590000867,32.08505029999651,0.0030223278053243714,1.0,success,
logical_dataset,L2,OR,4,tabpfn_v3,2,1000,2,6,750,250,0.736,1.0,1.0,1.0,1.0,1.0,2.3418923999997787,24.06390070001362,26.405793100013398,0.0024112615706192767,1.0,success,
