experiment,task,model,n_features,depth,ood,n_train,n_test,seed,status,metric_primary_name,metric_primary,metric_secondary_name,metric_secondary,fit_seconds,predict_seconds,error
2_ood,regression,tabpfn_v3,200,5,True,100,500,0,ok,r2,-1.4909858004552965,rmse,10.401302069966517,0.9424021659651771,29.95436554099433,
2_ood,regression,tabicl_v2,200,5,True,100,500,0,ok,r2,-0.11522089088867848,rmse,6.959571986335862,0.970737083000131,24.024932499974966,
2_ood,regression,tabpfn_v2_5,500,5,False,100,500,0,ok,r2,-0.016356471139092,rmse,3.462417359347467,0.6060094999847934,36.61061304202303,
2_ood,regression,tabpfn_v3,500,5,False,100,500,0,ok,r2,-0.022251408636491776,rmse,3.4724439711248625,1.4209734159521759,46.98402425006498,
2_ood,regression,tabicl_v2,500,5,False,100,500,0,ok,r2,-0.007386700058994666,rmse,3.4471048587698125,2.901960499933921,48.87861274997704,
2_ood,regression,tabpfn_v2_5,500,5,True,100,500,0,ok,r2,-0.09660626312636511,rmse,5.522740458575834,0.5075360829941928,32.23231487500016,
2_ood,regression,tabpfn_v3,500,5,True,100,500,0,ok,r2,-0.10059341352383311,rmse,5.532771414185963,2.673698625061661,50.17925004090648,
2_ood,regression,tabicl_v2,500,5,True,100,500,0,ok,r2,-0.06975122110550758,rmse,5.454697468131731,2.7995541249401867,48.14649508392904,
2_ood,regression,tabpfn_v2_5,1000,5,False,100,500,0,ok,r2,0.019170461564823493,rmse,4.047281203358564,1.3250260839704424,39.61288200004492,
2_ood,regression,tabpfn_v3,1000,5,False,100,500,0,ok,r2,0.00299283935328043,rmse,4.080522252305925,2.8626606250181794,53.38130624999758,
2_ood,regression,tabicl_v2,1000,5,False,100,500,0,ok,r2,-0.1081120888746776,rmse,4.301881649511453,3.280517042032443,116.10209320799913,
2_ood,regression,tabpfn_v2_5,1000,5,True,100,500,0,ok,r2,-0.09781751473042943,rmse,6.032158478064389,1.036552167031914,41.06346995802596,
2_ood,regression,tabpfn_v3,1000,5,True,100,500,0,ok,r2,-0.2493801932947759,rmse,6.435095161428564,1.4917242920491844,55.31227762508206,
2_ood,regression,tabicl_v2,1000,5,True,100,500,0,ok,r2,-0.3637287214004703,rmse,6.72313232057976,4.695164041011594,118.31887950003147,
2_ood,regression,tabpfn_v2_5,2000,5,False,100,500,0,ok,r2,-0.010469348168447024,rmse,3.6183119477165517,2.7976717919809744,38.78808441699948,
2_ood,regression,tabpfn_v3,2000,5,False,100,500,0,ok,r2,0.008714662232248371,rmse,3.583800085267622,1.4470979160396382,59.22179895802401,
2_ood,regression,tabicl_v2,2000,5,False,100,500,0,ok,r2,-0.0677512821771451,rmse,3.7194565095931185,7.10855570808053,312.9332290829625,
2_ood,regression,tabpfn_v2_5,2000,5,True,100,500,0,ok,r2,-0.07514392646847079,rmse,5.650114867972253,2.4270594579866156,41.02751749998424,
2_ood,regression,tabpfn_v3,2000,5,True,100,500,0,ok,r2,-0.08652361914387541,rmse,5.679937540741149,1.8418647079961374,49.11721399996895,
2_ood,regression,tabicl_v2,2000,5,True,100,500,0,ok,r2,-0.1255345180267231,rmse,5.781005512709692,8.535575291956775,362.74901799997315,
2_ood,classification,xgboost,50,5,False,100,500,0,ok,accuracy,0.654,roc_auc,0.7123450169811014,0.16133200004696846,0.001770458067767322,
2_ood,classification,xgboost,50,5,True,100,500,0,ok,accuracy,0.686,roc_auc,0.5284924167967471,0.1588172500487417,0.001000083051621914,
2_ood,classification,xgboost,100,5,False,100,500,0,ok,accuracy,0.682,roc_auc,0.7416534308770916,0.1968219589907676,0.0008906670846045017,
