dataset_variant,model,seed,n_samples,n_features,train_samples,test_samples,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,fit_seconds,prediction_seconds,total_seconds,log_loss,roc_auc,status,error
periodic_low_freq,TabPFN-v3,2,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,3.1957225743681192,0.7503409683704376,3.946063542738557,0.0015106233768165112,1.0,success,
periodic_low_freq,TabICL-v2,2,1200,5,1000,200,1.0,1.0,1.0,1.0,1.0,0.8036241801455617,0.5877340501174331,1.3913582302629948,0.0019527897238731384,1.0,success,
periodic_mid_freq,CatBoost,2,1200,5,1000,200,0.96,0.9569805194805194,0.9622331691297208,0.9569805194805194,0.9592003263973888,1.204685122705996,0.0016276473179459572,1.206312770023942,0.09439265510453389,0.9978693181818182,success,
periodic_mid_freq,RealMLP-TD,2,1200,5,1000,200,0.525,0.5527597402597403,0.5652037617554859,0.5527597402597403,0.5117062013312431,15.818247120827436,0.11624140478670597,15.934488525614142,0.702247679233551,0.5687905844155845,success,
periodic_mid_freq,TabPFN-v2,2,1200,5,1000,200,0.985,0.984172077922078,0.9854033160410944,0.984172077922078,0.9847619047619047,1.2821042193099856,0.9723403472453356,2.254444566555321,0.05840545520186424,0.9983766233766234,success,
periodic_mid_freq,TabPFN-v3,2,1200,5,1000,200,0.98,0.9772727272727273,0.9827586206896552,0.9772727272727273,0.9796001631986944,3.4050361113622785,0.7543246913701296,4.159360802732408,0.030745606869459152,0.9996956168831168,success,
periodic_mid_freq,TabICL-v2,2,1200,5,1000,200,0.985,0.9829545454545454,0.9869565217391305,0.9829545454545454,0.9847215502533676,0.9493407681584358,0.6155680129304528,1.5649087810888886,0.02196928672492504,1.0,success,
periodic_high_freq,CatBoost,2,1200,5,1000,200,0.86,0.8577719947953157,0.8680877355576151,0.8577719947953157,0.8585858585858586,1.2844012212008238,0.0012400830164551735,1.285641304217279,0.4472703411695788,0.9194274847362627,success,
periodic_high_freq,RealMLP-TD,2,1200,5,1000,200,0.45,0.44590131118006204,0.44169992449573936,0.44590131118006204,0.4373401534526854,15.21177947241813,0.05015973933041096,15.26193921174854,0.724681556224823,0.44690221199079166,success,
periodic_high_freq,TabPFN-v2,2,1200,5,1000,200,0.945,0.9435992393153838,0.9496753246753247,0.9435992393153838,0.944688874921433,1.8587419763207436,0.9857179839164019,2.8444599602371454,0.11921603977680206,0.9965468922029828,success,
periodic_high_freq,TabPFN-v3,2,1200,5,1000,200,0.94,0.9390451406265639,0.9422320798467587,0.9390451406265639,0.9397832195905259,3.0934926019981503,0.6031747162342072,3.6966673182323575,0.18819241225719452,0.994294865378841,success,
periodic_high_freq,TabICL-v2,2,1200,5,1000,200,0.975,0.9745270743669303,0.975812926535528,0.9745270743669303,0.9749492722763596,0.7034199303016067,0.587134032510221,1.2905539628118277,0.047605909407138824,0.9987989190271245,success,
periodic_2d_checkerboard,CatBoost,2,1200,5,1000,200,0.495,0.4963942307692308,0.496382273138378,0.4963942307692308,0.4948863494286215,1.2174912532791495,0.002116967923939228,1.2196082212030888,0.7196846202072612,0.5146233974358974,success,
periodic_2d_checkerboard,RealMLP-TD,2,1200,5,1000,200,0.49,0.4891826923076923,0.4891826923076923,0.4891826923076923,0.4891826923076923,13.957353848032653,0.050768124870955944,14.00812197290361,0.7542308568954468,0.5094150641025641,success,
periodic_2d_checkerboard,TabPFN-v2,2,1200,5,1000,200,0.515,0.5096153846153846,0.5103548700248085,0.5096153846153846,0.50306104152258,1.6550462692975998,1.1513289026916027,2.8063751719892025,0.6928369402885437,0.5163261217948718,success,
periodic_2d_checkerboard,TabPFN-v3,2,1200,5,1000,200,0.525,0.5116185897435898,0.5210488114679732,0.5116185897435898,0.45650619296890643,3.410274446941912,0.7368832714855671,4.147157718427479,0.6931347846984863,0.4921374198717949,success,
periodic_2d_checkerboard,TabICL-v2,2,1200,5,1000,200,0.54,0.5328525641025641,0.5376838235294117,0.5328525641025641,0.5208333333333334,1.0499428557232022,0.6009120717644691,1.6508549274876714,0.6924954056739807,0.5260416666666667,success,
